ID	Description
M00400	KEGG|Structural complex|Genetic information processing|Protein processing|p97-Ufd1-Npl4 complex
M00359	KEGG|Functional set|Metabolism|Aminoacyl tRNA|Aminoacyl-tRNA biosynthesis, eukaryotes
M00113	KEGG|Pathway module|Carbohydrate and lipid metabolism|Fatty acid metabolism|Jasmonic acid biosynthesis
M00403	KEGG|Structural complex|Genetic information processing|Protein processing|HRD1/SEL1 ERAD complex
M00370	KEGG|Pathway module|Nucleotide and amino acid metabolism|Alkaloid and other secondary metabolite biosynthesis|Glucosinolate biosynthesis, tryptophan to glucobrassicin
M00037	KEGG|Pathway module|Nucleotide and amino acid metabolism|Aromatic amino acid metabolism|Melatonin biosynthesis, tryptophan to serotonin to melatonin
M00483	KEGG|Functional set|Environmental information processing|Two-component regulatory system|NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system
M00488	KEGG|Functional set|Environmental information processing|Two-component regulatory system|DcuS-DcuR (aerobic C4-dicarboxylate metabolism) two-component regulatory system
M00064	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipopolysaccharide metabolism|ADP-L-glycero-D-manno-heptose biosynthesis
M00073	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycan metabolism|N-glycan precursor trimming
M00317	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Manganese/iron transport system
M00055	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycan metabolism|N-glycan precursor biosynthesis
M00543	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Biphenyl degradation, biphenyl to 2-oxopent-4-enoate + benzoate
M00419	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Cymene degradation, p-cymene to p-cumate
M00008	KEGG|Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|Entner-Doudoroff pathway, glucose-6P to glyceraldehyde-3P + pyruvate
M00219	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|AI-2 transport system
M00561	KEGG|Pathway module|Energy metabolism|Methane metabolism|Methanogenesis, trimethylamine to methane
M00143	KEGG|Structural complex|Energy metabolism|ATP synthesis|NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
M00254	KEGG|Structural complex|Environmental information processing|ABC-2 type and other transport systems|ABC-2 type transport system
M00195	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Maltooligosaccharide transport system
M00363	KEGG|Signature module|Genotypic signature|Pathogenicity|EHEC pathogenicity signature, Shiga toxin
M00323	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Urea transport system
M00364	KEGG|Pathway module|Carbohydrate and lipid metabolism|Terpenoid backbone biosynthesis|C10-C20 isoprenoid biosynthesis, bacteria
M00472	KEGG|Functional set|Environmental information processing|Two-component regulatory system|NarQ-NarP (nitrate respiration) two-component regulatory system
M00295	KEGG|Structural complex|Genetic information processing|Repair system|BRCA1-associated genome surveillance complex (BASC)
M00109	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sterol biosynthesis|C21-Steroid hormone biosynthesis, progesterone to cortisol/cortisone
M00236	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Putative polar amino acid transport system
M00388	KEGG|Structural complex|Genetic information processing|Ubiquitin system|ECS complex
M00465	KEGG|Functional set|Environmental information processing|Two-component regulatory system|ManS-ManR (manganese homeostasis) two-component regulatory system
M00091	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipid metabolism|Phosphatidylcholine (PC) biosynthesis, PE to PC
M00426	KEGG|Structural complex|Genetic information processing|RNA processing|Survival motor neuron (SMN) complex
M00264	KEGG|Structural complex|Genetic information processing|DNA polymerase|DNA polymerase II complex, archaea
M00358	KEGG|Pathway module|Energy metabolism|Methane metabolism|Coenzyme M biosynthesis
M00523	KEGG|Functional set|Environmental information processing|Two-component regulatory system|RegB-RegA (redox response) two-component regulatory system
M00549	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sugar metabolism|Nucleotide sugar biosynthesis, glucose to UDP-glucose
M00094	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipid metabolism|Ceramide biosynthesis
M00344	KEGG|Pathway module|Energy metabolism|Methane metabolism|Formaldehyde assimilation, xylulose monophosphate pathway
M00492	KEGG|Functional set|Environmental information processing|Two-component regulatory system|LytS-LytR (autolysis and cell wall metabolism) two-component regulatory system
M00446	KEGG|Functional set|Environmental information processing|Two-component regulatory system|RstB-RstA two-component regulatory system
M00127	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cofactor and vitamin biosynthesis|Thiamine biosynthesis, AIR to thiamine-P/thiamine-2P
M00518	KEGG|Functional set|Environmental information processing|Two-component regulatory system|GlnK-GlnL (glutamine utilization) two-component regulatory system
M00211	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Putative ABC transport system
M00087	KEGG|Pathway module|Carbohydrate and lipid metabolism|Fatty acid metabolism|beta-Oxidation
M00279	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, galactitol-specific II component
M00501	KEGG|Functional set|Environmental information processing|Two-component regulatory system|PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system
M00271	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, beta-glucosides-specific II component
M00405	KEGG|Structural complex|Genetic information processing|RNA processing|THC complex
M00208	KEGG|Structural complex|Environmental information processing|Mineral and organic ion transport system|Glycine betaine/proline transport system
M00495	KEGG|Functional set|Environmental information processing|Two-component regulatory system|AgrC-AgrA (exoprotein synthesis) two-component regulatory system
M00383	KEGG|Structural complex|Genetic information processing|Ubiquitin system|ECV complex
M00288	KEGG|Structural complex|Genetic information processing|Replication system|RPA complex
M00203	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Glucose/arabinose transport system
M00357	KEGG|Pathway module|Energy metabolism|Methane metabolism|Methanogenesis, acetate to methane
M00244	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Putative zinc/manganese transport system
M00152	KEGG|Structural complex|Energy metabolism|ATP synthesis|Cytochrome bc1 complex
M00478	KEGG|Functional set|Environmental information processing|Two-component regulatory system|DegS-DegU (multicellular behavior control) two-component regulatory system
M00377	KEGG|Pathway module|Energy metabolism|Carbon fixation|Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00565	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sugar metabolism|Trehalose biosynthesis, D-glucose 1P to trehalose
M00173	KEGG|Pathway module|Energy metabolism|Carbon fixation|Reductive citric acid cycle (Arnon-Buchanan cycle)
M00136	KEGG|Pathway module|Nucleotide and amino acid metabolism|Polyamine biosynthesis|GABA biosynthesis, prokaryotes, putrescine to GABA
M00099	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipid metabolism|Sphingosine biosynthesis
M00509	KEGG|Functional set|Environmental information processing|Two-component regulatory system|WspE-WspRF (chemosensory) two-component regulatory system
M00433	KEGG|Pathway module|Nucleotide and amino acid metabolism|Lysine metabolism|Lysine biosynthesis, 2-oxoglutarate to 2-oxoadipate
M00452	KEGG|Functional set|Environmental information processing|Two-component regulatory system|CusS-CusR (copper tolerance) two-component regulatory system
