#Genes from Dyer et al that interact with F. tularensis, B. anthraces, and Y. pests
EntrezID	Gene
7178	TPT1
3965	LGALS9
22872	SEC31A
5552	SRGN
4790	NFKB1
972	CD74
6386	SDCBP
1281	COL3A1
3039	HBA1
6778	STAT6
4144	MAT2A
23166	STAB1
8409	UXT
7008	TEF
143	PARP4
27327	TNRC6A
8021	NUP214
80342	TRAF3IP3
57489	ODF2L
10456	HAX1
27429	HTRA2
7257	TSNAX
10935	PRDX3
7402	UTRN
3162	HMOX1
6934	TCF7L2
3131	HLF
2034	EPAS1
3494	IGHA2
9878	TOX4
1277	COL1A1
84897	TBRG1
4814	NINJ1
51061	TXNDC11
64793	CCDC21
118	ADD1
1282	COL4A1
23253	ANKRD12
8906	AP1G2
3106	HLA-B
3181	HNRNPA2B1
3691	ITGB4
5315	PKM2
26136	TES
3127	HLA-DRB5
378938	MALAT1
29946	SERTAD3
5130	PCYT1A
7726	TRIM26
9750	FAM65B
4154	MBNL1
3958	LGALS3
54857	GDPD2
1200	TPP1
65057	ACD
3303	HSPA1A
7917	BAT3
567	B2M
81671	TMEM49
23077	MYCBP2
11179	ZNF277
7220	TRPC1
1499	CTNNB1
29123	ANKRD11
162	AP1B1
3710	ITPR3
3187	HNRNPH1
216	ALDH1A1
3107	HLA-C
28964	GIT1
1378	CR1
3178	HNRNPA1
51669	TMEM66
11064	CEP110
84661	DPY30
64129	TINAGL1
5108	PCM1
4152	MBD1
7184	HSP90B1
2037	EPB41L2
6993	DYNLT1
51088	KLHL5
2274	FHL2
7871	SLMAP
83872	HMCN1
4140	MARK3
2874	GPS2
10399	GNB2L1
1938	EEF2
310	ANXA7
26986	PABPC1
399687	MYO18A
375	ARF1
9126	SMC3
27351	PPPDE2
1974	EIF4A2
55249	YY1AP1
6774	STAT3
57680	CHD8
5295	PIK3R1
84824	FCRLA
8887	TAX1BP1
8202	NCOA3
23524	SRRM2
387	RHOA
4869	NPM1
9412	MED21
2	A2M
23362	PSD3
27086	FOXP1
8880	FUBP1
7392	USF2
3115	HLA-DPB1
951	CD37
166	AES
79441	HAUS3
3133	HLA-E
988	CDC5L
84342	COG8
3932	LCK
9931	HELZ
71	ACTG1
4627	MYH9
22882	ZHX2
5359	PLSCR1
1975	EIF4B
5788	PTPRC
9584	RBM39
8831	SYNGAP1
201255	LRRC45
23338	PHF15
10346	TRIM22
83548	COG3
1973	EIF4A1
3429	IFI27
11244	ZHX1
8522	GAS7
9404	LPXN
8481	OFD1
55196	C12orf35
10318	TNIP1
51643	TMBIM4
10312	TCIRG1
11117	EMILIN1
84447	SYVN1
54810	GIPC2
7791	ZYX
10273	STUB1
10521	DDX17
79987	SVEP1
1997	ELF1
84337	ELOF1
9223	MAGI1
154043	CNKSR3
29997	GLTSCR2
7538	ZFP36
55081	IFT57
57580	PREX1
4779	NFE2L1
1655	DDX5
285464	CRIPAK
59277	NTN4
8079	MLF2
81704	DOCK8
23013	SPEN
85358	SHANK3
79571	GCC1
151306	GPBAR1
126248	WDR88
8888	MCM3AP
10051	SMC4
7010	TEK
7157	TP53
3689	ITGB2
10480	EIF3M
85444	LRRCC1
10771	ZMYND11
57050	UTP3
51322	WAC
311	ANXA11
22827	PUF60
8615	USO1
57658	CALCOCO1
51574	LARP7
23654	PLXNB2
11214	AKAP13
8692	HYAL2
23543	RBFOX2
159195	USP54
3911	LAMA5
9839	ZEB2
5297	PI4KA
7750	ZMYM2
1192	CLIC1
29952	DPP7
9802	DAZAP2
400673	VMAC
10724	MGEA5
4076	CAPRIN1
8178	ELL
25836	NIPBL
80777	CYB5B
3077	HFE
23168	RTF1
6389	SDHA
23451	SF3B1
10992	SF3B2
23136	EPB41L3
6651	SON
11151	CORO1A
6780	STAU1
167153	PAPD4
10226	PLIN3
23126	POGZ
826	CAPNS1
6856	SYPL1
6449	SGTA
472	ATM
4050	LTB
64857	PLEKHG2
23049	SMG1
93974	ATPIF1
720	C4A
2059	EPS8
80254	CEP63
57592	ZNF687
57132	CHMP1B
10401	PIAS3
4739	NEDD9
8881	CDC16
55728	N4BP2
5998	RGS3
5903	RANBP2
10519	CIB1
114132	SIGLEC11
10487	CAP1
89848	FCHSD1
7248	TSC1
8635	RNASET2
6404	SELPLG
27154	BRPF3
1284	COL4A2
50618	ITSN2
6605	SMARCE1
5878	RAB5C
80755	AARSD1
1892	ECHS1
284996	RNF149
55819	RNF130
998	CDC42
3725	JUN
10254	STAM2
10742	RAI2
6670	SP3
5830	PEX5
6772	STAT1
2969	GTF2I
64112	MOAP1
51162	EGFL7
9321	TRIP11
11052	CPSF6
7267	TTC3
922	CD5L
23053	KIAA0913
58486	ZBED5
5479	PPIB
2950	GSTP1
79026	AHNAK
338692	ANKRD13D
3315	HSPB1
9611	NCOR1
1956	EGFR
